id_fact,id_tiempo,id_pais,id_ciudad,id_red,id_equipo,sentimiento,hashtag,interacciones,alcance,compartidos,respuestas,ratio_compartidos
101,116,9,19,1,16,Neutro,#FanaticoDelFutbol,287,3275,53,14,0.1847
102,286,5,12,2,18,Positivo,#RumboAlMundial,387,5305,92,50,0.2377
103,198,11,23,5,11,Negativo,#Mundial2026,206,3054,44,17,0.2136
104,312,1,2,1,3,Neutro,#Campeones,183,2063,40,4,0.2186
105,69,1,1,2,3,Neutro,#Mundial2026,79,835,10,5,0.1266
106,168,5,12,5,12,Negativo,#RumboAlMundial,102,824,20,9,0.1961
107,186,4,9,5,11,Positivo,#DiaDePartido,486,4711,72,42,0.1481
108,307,6,13,1,7,Positivo,#Mundial2026,165,1742,16,27,0.097
109,123,7,15,3,6,Neutro,#FutbolTotal,121,1256,17,2,0.1405
110,32,7,14,1,6,Positivo,#DiaDePartido,153,1262,30,24,0.1961
111,166,3,7,5,15,Positivo,#Mundial2026,138,1136,20,20,0.1449
112,239,7,15,5,9,Positivo,#DiaDePartido,53,659,4,7,0.0755
113,304,1,1,1,15,Neutro,#Mundial2026,71,955,10,9,0.1408
114,169,12,25,1,19,Negativo,#VamosSeleccion,57,633,5,3,0.0877
115,225,11,23,3,10,Positivo,#Campeones,398,3607,38,55,0.0955
116,111,5,11,2,13,Positivo,#DiaDePartido,79,656,4,6,0.0506
117,178,5,12,5,19,Negativo,#GoleoElEquipo,105,1415,19,15,0.181
118,195,14,30,1,6,Positivo,#DiaDePartido,437,5015,85,11,0.1945
119,219,13,28,4,15,Positivo,#VamosSeleccion,1209,10903,151,167,0.1249
120,21,3,7,1,2,Neutro,#Mundial2026,136,1705,15,14,0.1103
121,239,4,9,2,8,Positivo,#GoleoElEquipo,51,608,6,3,0.1176
122,140,5,12,1,18,Positivo,#Mundial2026,261,2464,59,22,0.2261
123,225,9,19,1,6,Neutro,#VamosSeleccion,86,1259,7,4,0.0814
124,347,1,2,5,3,Neutro,#Mundial2026,1027,13708,96,80,0.0935
125,148,4,10,3,15,Negativo,#GoleoElEquipo,259,2612,45,6,0.1737
126,102,9,20,1,9,Positivo,#FanaticoDelFutbol,74,798,13,12,0.1757
127,104,3,8,1,16,Positivo,#RumboAlMundial,200,2484,33,15,0.165
128,196,13,27,1,19,Negativo,#VamosSeleccion,109,1048,16,18,0.1468
129,9,3,8,5,1,Negativo,#RumboAlMundial,1010,11873,227,34,0.2248
130,219,7,15,3,6,Positivo,#VamosSeleccion,39,472,9,3,0.2308
131,135,15,31,5,20,Positivo,#Mundial2026,1156,14412,95,162,0.0822
132,345,9,19,5,16,Neutro,#RumboAlMundial,254,3189,61,9,0.2402
133,84,10,21,2,13,Neutro,#GoleoElEquipo,336,3307,26,59,0.0774
134,225,5,12,5,18,Positivo,#FutbolTotal,202,2292,40,30,0.198
135,197,9,19,5,3,Positivo,#Mundial2026,75,662,5,8,0.0667
136,123,5,11,1,18,Positivo,#FanaticoDelFutbol,66,779,7,8,0.1061
137,27,7,16,2,10,Neutro,#RumboAlMundial,53,448,3,1,0.0566
138,106,1,1,5,1,Positivo,#Mundial2026,275,3801,65,37,0.2364
139,120,12,26,4,19,Neutro,#Mundial2026,24,332,3,1,0.125
140,63,3,8,2,15,Positivo,#GoleoElEquipo,44,376,2,6,0.0455
141,56,12,25,5,1,Negativo,#FutbolTotal,165,1681,29,16,0.1758
142,288,4,9,4,4,Neutro,#Mundial2026,281,2913,27,20,0.0961
143,42,11,24,1,11,Positivo,#DiaDePartido,49,523,9,2,0.1837
144,341,2,5,2,9,Negativo,#Campeones,163,1781,37,10,0.227
145,243,9,19,3,7,Neutro,#Mundial2026,641,9197,79,34,0.1232
146,109,4,9,2,3,Neutro,#Mundial2026,88,1094,14,2,0.1591
147,281,6,13,1,14,Negativo,#VamosSeleccion,399,3246,87,25,0.218
148,105,1,2,2,1,Negativo,#VamosSeleccion,299,3900,35,49,0.1171
149,104,11,23,1,10,Negativo,#DiaDePartido,378,4084,53,13,0.1402
150,84,14,29,5,20,Negativo,#Campeones,395,5776,89,41,0.2253
151,336,6,13,4,13,Negativo,#Mundial2026,72,858,17,4,0.2361
152,284,3,7,2,16,Positivo,#VamosSeleccion,32,443,7,5,0.2188
153,266,5,11,2,18,Negativo,#FanaticoDelFutbol,113,1285,11,10,0.0973
154,25,5,12,3,19,Positivo,#VamosSeleccion,60,724,6,5,0.1
155,153,11,23,1,9,Negativo,#FanaticoDelFutbol,199,2614,37,20,0.1859
156,294,11,24,1,9,Neutro,#Mundial2026,216,3054,47,22,0.2176
157,142,9,19,5,8,Neutro,#Mundial2026,161,2302,38,25,0.236
158,18,9,20,2,8,Positivo,#Mundial2026,132,1837,23,22,0.1742
159,299,1,2,1,17,Negativo,#Mundial2026,50,728,11,6,0.22
160,120,1,3,1,18,Neutro,#DiaDePartido,29,307,6,1,0.2069
161,46,12,25,2,6,Neutro,#GoleoElEquipo,221,2214,23,20,0.1041
162,145,13,28,1,5,Neutro,#DiaDePartido,467,4725,58,49,0.1242
163,267,4,10,5,16,Positivo,#GoleoElEquipo,444,5499,77,68,0.1734
164,70,12,25,1,19,Positivo,#Campeones,266,2186,55,7,0.2068
165,257,8,17,5,14,Neutro,#RumboAlMundial,91,1292,22,15,0.2418
166,69,5,12,3,17,Positivo,#FanaticoDelFutbol,192,2633,22,17,0.1146
167,104,5,11,3,18,Positivo,#FutbolTotal,84,911,20,10,0.2381
168,183,4,9,1,15,Neutro,#Mundial2026,298,2773,60,46,0.2013
169,326,10,21,3,13,Neutro,#Campeones,517,6236,51,63,0.0986
170,297,1,2,3,3,Positivo,#Mundial2026,65,653,8,6,0.1231
171,22,4,10,1,12,Negativo,#RumboAlMundial,211,2855,18,29,0.0853
172,309,4,9,4,16,Negativo,#FutbolTotal,85,931,13,14,0.1529
173,123,7,16,1,3,Neutro,#VamosSeleccion,88,937,9,2,0.1023
174,10,8,17,1,14,Negativo,#RumboAlMundial,146,1673,20,22,0.137
175,338,4,10,2,15,Negativo,#FutbolTotal,502,5344,101,13,0.2012
176,62,9,19,3,8,Positivo,#Campeones,323,4157,16,52,0.0495
177,28,11,24,3,11,Positivo,#FutbolTotal,154,2197,37,9,0.2403
178,281,7,15,3,18,Neutro,#FutbolTotal,440,6025,49,76,0.1114
179,321,12,26,2,19,Neutro,#FutbolTotal,67,625,15,10,0.2239
180,239,14,30,1,19,Neutro,#DiaDePartido,831,12349,179,65,0.2154
181,86,1,2,3,3,Positivo,#FanaticoDelFutbol,367,4884,86,49,0.2343
182,205,5,11,2,18,Positivo,#DiaDePartido,178,2662,42,29,0.236
183,249,7,14,5,11,Negativo,#Mundial2026,40,449,6,2,0.15
184,232,1,1,1,1,Negativo,#DiaDePartido,100,1403,22,16,0.22
185,100,11,24,2,11,Positivo,#Campeones,11,146,1,1,0.0909
186,328,5,11,5,6,Positivo,#DiaDePartido,75,602,11,3,0.1467
187,15,4,9,1,14,Positivo,#FutbolTotal,621,5758,57,71,0.0918
188,300,4,9,1,17,Negativo,#DiaDePartido,43,632,7,7,0.1628
189,111,10,21,4,20,Positivo,#VamosSeleccion,482,5774,86,75,0.1784
190,21,8,17,2,14,Negativo,#RumboAlMundial,26,351,1,1,0.0385
191,17,5,11,5,14,Positivo,#Mundial2026,311,3475,24,17,0.0772
192,241,7,15,3,6,Neutro,#RumboAlMundial,124,1719,29,9,0.2339
193,277,5,12,4,4,Positivo,#FanaticoDelFutbol,254,3609,35,29,0.1378
194,56,1,3,3,2,Positivo,#FutbolTotal,569,8351,115,65,0.2021
195,138,5,12,5,17,Negativo,#DiaDePartido,266,3802,38,16,0.1429
196,106,12,25,3,19,Negativo,#FutbolTotal,289,4131,38,38,0.1315
197,152,6,13,1,20,Negativo,#FanaticoDelFutbol,108,1500,18,8,0.1667
198,15,5,12,4,17,Neutro,#FanaticoDelFutbol,18,204,3,2,0.1667
199,316,9,19,4,16,Positivo,#FutbolTotal,185,2338,10,19,0.0541
200,293,11,23,1,9,Positivo,#DiaDePartido,322,4685,58,46,0.1801
201,254,4,10,2,10,Negativo,#DiaDePartido,682,7941,146,16,0.2141
202,292,3,8,3,12,Negativo,#FanaticoDelFutbol,1296,19411,294,50,0.2269
203,324,5,11,1,3,Positivo,#FanaticoDelFutbol,533,5246,78,33,0.1463
204,49,5,12,2,5,Neutro,#RumboAlMundial,448,4979,51,60,0.1138
205,41,4,10,2,15,Neutro,#GoleoElEquipo,41,561,5,6,0.122
206,72,7,14,3,4,Negativo,#VamosSeleccion,87,922,15,3,0.1724
207,325,14,29,3,10,Positivo,#Mundial2026,401,4582,35,17,0.0873
208,294,5,11,1,17,Positivo,#VamosSeleccion,77,797,4,5,0.0519
209,168,5,12,3,16,Negativo,#Campeones,63,835,8,5,0.127
210,41,3,7,5,18,Neutro,#VamosSeleccion,228,3253,18,34,0.0789
211,19,8,17,2,14,Neutro,#VamosSeleccion,106,1440,12,2,0.1132
212,264,11,24,2,2,Positivo,#FanaticoDelFutbol,286,3072,37,15,0.1294
213,78,7,14,1,18,Negativo,#Mundial2026,55,480,6,6,0.1091
214,208,4,10,5,16,Positivo,#FutbolTotal,72,826,4,12,0.0556
215,36,7,15,1,6,Negativo,#Mundial2026,16,183,1,1,0.0625
216,88,13,28,2,9,Negativo,#RumboAlMundial,875,9650,101,81,0.1154
217,19,1,3,3,3,Positivo,#VamosSeleccion,143,2096,26,19,0.1818
218,20,1,1,3,5,Negativo,#Mundial2026,170,2044,13,30,0.0765
219,120,7,16,1,6,Positivo,#Mundial2026,74,621,9,8,0.1216
220,243,1,3,5,3,Positivo,#FanaticoDelFutbol,489,5073,92,58,0.1881
221,118,1,2,2,20,Negativo,#Mundial2026,316,2533,20,30,0.0633
222,218,13,28,1,2,Positivo,#RumboAlMundial,115,1315,22,5,0.1913
223,53,4,10,5,16,Neutro,#GoleoElEquipo,1358,16483,217,29,0.1598
224,334,4,10,4,6,Neutro,#GoleoElEquipo,97,1303,12,17,0.1237
225,107,4,10,2,15,Negativo,#FanaticoDelFutbol,6703,70249,689,683,0.1028
226,13,15,31,1,20,Negativo,#Campeones,322,3214,66,24,0.205
227,233,14,30,2,12,Positivo,#Mundial2026,616,7093,121,35,0.1964
228,14,7,15,1,9,Positivo,#DiaDePartido,57,591,7,6,0.1228
229,190,14,29,1,6,Neutro,#DiaDePartido,185,1511,35,26,0.1892
230,365,9,20,2,17,Negativo,#FutbolTotal,149,1431,12,19,0.0805
231,137,7,15,4,4,Neutro,#VamosSeleccion,56,585,5,9,0.0893
232,106,1,2,2,17,Neutro,#Mundial2026,330,3678,29,10,0.0879
233,270,10,22,1,12,Positivo,#GoleoElEquipo,108,982,12,13,0.1111
234,210,4,9,3,16,Neutro,#FutbolTotal,103,857,5,2,0.0485
235,347,10,21,5,2,Neutro,#FutbolTotal,525,4936,94,82,0.179
236,126,1,1,2,1,Positivo,#FutbolTotal,133,1156,19,18,0.1429
237,140,4,9,5,15,Positivo,#GoleoElEquipo,142,1525,15,9,0.1056
238,357,9,19,5,7,Positivo,#Campeones,95,1354,18,5,0.1895
239,287,10,21,2,15,Neutro,#Mundial2026,118,1210,23,14,0.1949
240,238,12,26,1,16,Positivo,#FutbolTotal,45,403,10,3,0.2222
241,260,1,3,2,10,Positivo,#Campeones,255,2674,51,25,0.2
242,54,9,19,1,5,Neutro,#FutbolTotal,119,1096,6,13,0.0504
243,168,5,11,1,18,Negativo,#FutbolTotal,128,1474,28,3,0.2188
244,82,10,21,5,18,Neutro,#Campeones,373,3043,42,28,0.1126
245,101,9,20,5,20,Positivo,#VamosSeleccion,116,1156,8,9,0.069
246,84,5,12,2,17,Positivo,#Mundial2026,437,6180,92,11,0.2105
247,128,1,3,1,2,Positivo,#Mundial2026,292,2552,40,33,0.137
248,170,11,24,3,11,Positivo,#VamosSeleccion,241,2049,21,7,0.0871
249,50,1,3,3,14,Negativo,#Mundial2026,47,664,2,7,0.0426
250,78,12,25,3,19,Negativo,#FanaticoDelFutbol,219,2361,49,38,0.2237
251,29,1,3,5,2,Neutro,#Mundial2026,261,2947,33,19,0.1264
252,13,1,2,3,2,Negativo,#FutbolTotal,476,5145,91,40,0.1912
253,134,9,19,2,8,Neutro,#VamosSeleccion,366,3160,80,20,0.2186
254,257,4,10,1,15,Positivo,#FutbolTotal,45,414,9,7,0.2
255,328,8,17,5,14,Positivo,#DiaDePartido,346,4990,58,58,0.1676
256,176,4,9,5,16,Neutro,#Mundial2026,101,933,22,3,0.2178
257,31,4,9,4,17,Neutro,#DiaDePartido,447,4733,64,23,0.1432
258,96,4,9,1,16,Positivo,#FutbolTotal,618,6070,141,80,0.2282
259,357,15,32,4,11,Neutro,#Mundial2026,272,3551,42,42,0.1544
260,3,10,21,1,12,Positivo,#Mundial2026,1574,16484,111,140,0.0705
261,353,8,17,3,14,Positivo,#RumboAlMundial,789,11346,74,115,0.0938
262,351,9,19,1,9,Negativo,#Campeones,424,5421,60,38,0.1415
263,355,8,18,5,7,Positivo,#RumboAlMundial,28,303,5,1,0.1786
264,196,1,2,4,3,Negativo,#Mundial2026,101,1456,10,12,0.099
265,297,4,9,4,15,Neutro,#GoleoElEquipo,1173,17377,251,194,0.214
266,365,2,4,2,16,Neutro,#Mundial2026,61,746,12,4,0.1967
267,54,11,24,5,11,Negativo,#RumboAlMundial,534,5459,31,45,0.0581
268,275,7,16,1,6,Neutro,#Campeones,269,3176,49,35,0.1822
269,46,8,17,2,14,Negativo,#Mundial2026,239,3207,45,14,0.1883
270,238,7,16,2,4,Neutro,#Mundial2026,417,5978,99,47,0.2374
271,207,5,12,1,17,Neutro,#FutbolTotal,189,1821,27,21,0.1429
272,280,8,18,1,14,Positivo,#GoleoElEquipo,744,7193,67,39,0.0901
273,231,1,1,4,1,Negativo,#Mundial2026,1237,16205,191,88,0.1544
274,104,9,20,1,8,Negativo,#RumboAlMundial,1535,20835,108,44,0.0704
275,297,7,16,1,5,Negativo,#GoleoElEquipo,70,658,4,3,0.0571
276,157,4,9,1,15,Neutro,#VamosSeleccion,70,849,6,7,0.0857
277,316,5,12,1,18,Neutro,#VamosSeleccion,55,492,8,6,0.1455
278,210,5,12,2,18,Neutro,#GoleoElEquipo,778,11290,101,81,0.1298
279,226,10,22,4,13,Neutro,#Campeones,799,9439,168,87,0.2103
280,180,4,9,1,6,Neutro,#Mundial2026,57,508,9,6,0.1579
281,24,4,9,1,15,Negativo,#Mundial2026,235,3010,46,41,0.1957
282,176,1,1,2,3,Positivo,#Mundial2026,198,2559,37,11,0.1869
283,176,10,22,5,12,Positivo,#FutbolTotal,94,972,14,5,0.1489
284,195,5,12,1,8,Positivo,#RumboAlMundial,321,3479,22,22,0.0685
285,85,7,14,2,3,Positivo,#VamosSeleccion,174,2293,20,4,0.1149
286,118,5,12,3,18,Neutro,#FanaticoDelFutbol,19,255,1,1,0.0526
287,169,5,11,2,18,Neutro,#Mundial2026,306,3838,35,47,0.1144
288,36,9,20,5,10,Negativo,#FutbolTotal,441,4706,24,79,0.0544
289,351,13,28,1,11,Positivo,#Mundial2026,133,1673,28,21,0.2105
290,99,9,20,4,8,Positivo,#FutbolTotal,300,2695,17,13,0.0567
291,1,7,16,3,6,Positivo,#GoleoElEquipo,35,304,1,2,0.0286
292,185,7,14,1,18,Neutro,#FutbolTotal,301,2937,46,19,0.1528
293,154,9,20,1,9,Positivo,#GoleoElEquipo,211,2802,19,7,0.09
294,36,5,12,2,18,Negativo,#GoleoElEquipo,77,701,14,5,0.1818
295,71,4,10,1,16,Positivo,#GoleoElEquipo,303,4533,28,42,0.0924
296,29,12,25,1,19,Negativo,#FanaticoDelFutbol,306,3956,57,10,0.1863
297,149,8,17,1,14,Neutro,#FanaticoDelFutbol,49,413,10,5,0.2041
298,97,4,9,1,16,Positivo,#Mundial2026,418,5173,90,12,0.2153
299,1,9,19,2,7,Neutro,#Campeones,33,446,7,3,0.2121
300,134,13,28,1,6,Positivo,#Campeones,1243,18536,86,206,0.0692
301,293,4,9,2,16,Negativo,#VamosSeleccion,170,1598,36,10,0.2118
302,204,3,7,5,7,Negativo,#FutbolTotal,19,180,4,2,0.2105
303,255,13,28,3,19,Neutro,#GoleoElEquipo,151,1697,11,6,0.0728
304,50,12,26,2,7,Negativo,#DiaDePartido,116,998,7,14,0.0603
305,272,13,27,1,17,Positivo,#VamosSeleccion,304,3526,32,42,0.1053
306,88,8,17,2,14,Negativo,#Mundial2026,94,1113,10,12,0.1064
307,49,4,9,1,8,Positivo,#FanaticoDelFutbol,80,798,18,10,0.225
308,250,9,19,5,9,Positivo,#FutbolTotal,133,1490,13,5,0.0977
309,361,4,10,1,18,Positivo,#Mundial2026,189,2752,21,19,0.1111
310,38,7,14,2,5,Neutro,#Mundial2026,518,5626,112,47,0.2162
311,319,7,15,1,4,Negativo,#VamosSeleccion,885,10468,197,34,0.2226
312,93,8,18,1,14,Neutro,#GoleoElEquipo,29,299,6,3,0.2069
313,173,1,3,5,3,Neutro,#Mundial2026,267,2235,29,27,0.1086
314,28,9,19,1,9,Negativo,#Mundial2026,76,805,18,4,0.2368
315,348,4,9,3,20,Positivo,#FanaticoDelFutbol,825,11174,113,146,0.137
316,246,8,17,1,9,Negativo,#FanaticoDelFutbol,32,256,4,2,0.125
317,204,3,8,3,15,Negativo,#RumboAlMundial,439,6027,83,64,0.1891
318,171,5,12,2,18,Negativo,#Mundial2026,1451,15341,197,110,0.1358
319,175,5,11,1,3,Positivo,#FutbolTotal,1194,15495,99,156,0.0829
320,29,5,11,1,17,Negativo,#VamosSeleccion,127,1756,30,19,0.2362
321,278,9,20,3,7,Negativo,#FanaticoDelFutbol,119,1488,22,12,0.1849
322,266,7,16,2,17,Negativo,#GoleoElEquipo,95,774,16,7,0.1684
323,274,8,17,4,5,Positivo,#Campeones,164,1603,15,19,0.0915
324,189,12,25,1,19,Negativo,#VamosSeleccion,112,1367,18,18,0.1607
325,30,11,23,5,11,Positivo,#VamosSeleccion,93,1165,22,8,0.2366
326,353,7,15,2,5,Negativo,#VamosSeleccion,135,1693,20,13,0.1481
327,15,9,19,2,7,Positivo,#VamosSeleccion,855,12594,189,58,0.2211
328,123,9,19,1,8,Positivo,#FutbolTotal,145,1391,9,3,0.0621
329,249,5,12,4,6,Neutro,#RumboAlMundial,216,1988,43,11,0.1991
330,139,5,12,2,17,Positivo,#DiaDePartido,1351,16468,116,161,0.0859
331,128,4,9,5,15,Neutro,#FutbolTotal,115,1534,26,14,0.2261
332,90,9,19,2,18,Neutro,#Campeones,20,214,1,1,0.05
333,170,3,8,3,9,Positivo,#Mundial2026,122,1556,19,7,0.1557
334,342,12,26,1,4,Negativo,#GoleoElEquipo,149,1814,30,16,0.2013
335,7,6,13,2,10,Neutro,#Mundial2026,256,3538,49,37,0.1914
336,13,8,18,5,18,Neutro,#FutbolTotal,203,1633,21,18,0.1034
337,106,2,5,2,20,Negativo,#Mundial2026,369,5408,55,49,0.1491
338,222,4,10,5,15,Positivo,#DiaDePartido,456,5802,59,27,0.1294
339,315,1,1,3,3,Negativo,#FanaticoDelFutbol,95,1038,6,6,0.0632
340,288,7,15,3,4,Positivo,#Campeones,958,10133,81,76,0.0846
341,210,13,27,5,4,Positivo,#DiaDePartido,209,2954,20,31,0.0957
342,35,10,21,1,1,Negativo,#FutbolTotal,88,1193,9,6,0.1023
343,84,1,2,2,12,Negativo,#Campeones,225,2843,27,36,0.12
344,202,15,31,1,14,Negativo,#VamosSeleccion,83,868,4,9,0.0482
345,231,3,8,3,10,Positivo,#VamosSeleccion,160,1328,31,8,0.1938
346,11,5,11,2,11,Positivo,#RumboAlMundial,90,1322,11,10,0.1222
